===============================================================================
Id,nifty_1day_continous,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
293,nifty_1day_continous,293,2008-03-25 23:59:59.999989,577343495.38,612358262.9,577343495.38,609944745.0,0.0,0.0,609944745.0,MyStrategy,293,733126.9999999999,Broker,293,10000.0,10000.0,BuySell,293,,,Trades - Net Profit/Loss,293,,
294,nifty_1day_continous,294,2008-03-26 23:59:59.999989,548357784.28,552134368.52,540484280.52,542754727.0,0.0,0.0,542754727.0,MyStrategy,294,733127.9999999999,Broker,294,10000.0,10000.0,BuySell,294,,,Trades - Net Profit/Loss,294,,
295,nifty_1day_continous,295,2008-03-27 23:59:59.999989,612711705.92,617146404.84,605199998.46,612895692.0,0.0,0.0,612895692.0,MyStrategy,295,733128.9999999999,Broker,295,10000.0,10000.0,BuySell,295,,,Trades - Net Profit/Loss,295,,
296,nifty_1day_continous,296,2008-03-28 23:59:59.999989,569739430.88,586347984.06,565770128.22,582950780.0,0.0,0.0,582950780.0,MyStrategy,296,733129.9999999999,Broker,296,10000.0,10000.0,BuySell,296,,,Trades - Net Profit/Loss,296,,
297,nifty_1day_continous,297,2008-03-31 23:59:59.999989,622632610.58,623243633.75,592610585.53,596472000.0,0.0,0.0,596472000.0,MyStrategy,297,733132.9999999999,Broker,297,10000.0,10000.0,BuySell,297,,,Trades - Net Profit/Loss,297,,
298,nifty_1day_continous,298,2008-04-01 23:59:59.999989,391796497.68,397182443.01,382952295.6,392119158.0,0.0,0.0,392119158.0,MyStrategy,298,733133.9999999999,Broker,298,10000.0,10000.0,BuySell,298,,,Trades - Net Profit/Loss,298,,
299,nifty_1day_continous,299,2008-04-02 23:59:59.999989,409552314.5,424698684.43,409552314.5,410657952.0,0.0,0.0,410657952.0,MyStrategy,299,733134.9999999999,Broker,299,10000.0,10000.0,BuySell,299,,,Trades - Net Profit/Loss,299,,
300,nifty_1day_continous,300,2008-04-03 23:59:59.999989,452288167.1,459837561.51,450794462.1,453972153.0,0.0,0.0,453972153.0,MyStrategy,300,733135.9999999999,Broker,300,10000.0,10000.0,BuySell,300,,,Trades - Net Profit/Loss,300,,
301,nifty_1day_continous,301,2008-04-07 23:59:59.999989,483636819.76,501096972.04,483370531.55,497196633.0,0.0,0.0,497196633.0,MyStrategy,301,733139.9999999999,Broker,301,10000.0,10000.0,BuySell,301,,,Trades - Net Profit/Loss,301,,
302,nifty_1day_continous,302,2008-04-08 23:59:59.999989,461546463.49,462409321.19,453514130.83,456601998.0,0.0,0.0,456601998.0,MyStrategy,302,733140.9999999999,Broker,302,10000.0,10000.0,BuySell,302,,,Trades - Net Profit/Loss,302,,
303,nifty_1day_continous,303,2008-04-09 23:59:59.999989,479960623.71,485181299.92,475927855.28,484039277.0,0.0,0.0,484039277.0,MyStrategy,303,733141.9999999999,Broker,303,10000.0,10000.0,BuySell,303,,,Trades - Net Profit/Loss,303,,
304,nifty_1day_continous,304,2008-04-10 23:59:59.999989,512798882.56,518410177.21,509920326.2,511227288.0,0.0,0.0,511227288.0,MyStrategy,304,733142.9999999999,Broker,304,10000.0,10000.0,BuySell,304,,,Trades - Net Profit/Loss,304,,
305,nifty_1day_continous,305,2008-04-11 23:59:59.999989,428573894.56,436091940.74,427931171.77,432507177.0,0.0,0.0,432507177.0,MyStrategy,305,733143.9999999999,Broker,305,10000.0,10000.0,BuySell,305,,,Trades - Net Profit/Loss,305,,
306,nifty_1day_continous,306,2008-04-15 23:59:59.999989,529847142.16,545049923.68,521904894.28,540898672.0,0.0,0.0,540898672.0,MyStrategy,306,733147.9999999999,Broker,306,10000.0,10000.0,BuySell,306,,,Trades - Net Profit/Loss,306,,
307,nifty_1day_continous,307,2008-04-16 23:59:59.999989,630373256.8,639380157.06,629391859.78,631102848.0,0.0,0.0,631102848.0,MyStrategy,307,733148.9999999999,Broker,307,10000.0,10000.0,BuySell,307,,,Trades - Net Profit/Loss,307,,
308,nifty_1day_continous,308,2008-04-17 23:59:59.999989,738526816.29,752774557.9,738383357.31,748765257.0,0.0,0.0,748765257.0,MyStrategy,308,733149.9999999999,Broker,308,10000.0,10000.0,BuySell,308,,,Trades - Net Profit/Loss,308,,
309,nifty_1day_continous,309,2008-04-21 23:59:59.999989,607728871.12,619685037.5,607728871.12,617673949.0,0.0,0.0,617673949.0,MyStrategy,309,733153.9999999999,Broker,309,10000.0,10000.0,BuySell,309,,,Trades - Net Profit/Loss,309,,
310,nifty_1day_continous,310,2008-04-22 23:59:59.999989,751892770.55,757445705.51,745474055.4,753721358.0,0.0,0.0,753721358.0,MyStrategy,310,733154.9999999999,Broker,310,10000.0,10000.0,BuySell,310,,,Trades - Net Profit/Loss,310,,
311,nifty_1day_continous,311,2008-04-23 23:59:59.999989,790668028.96,796804528.87,784272902.61,787290211.0,0.0,0.0,787290211.0,MyStrategy,311,733155.9999999999,Broker,311,10000.0,10000.0,BuySell,311,,,Trades - Net Profit/Loss,311,,
312,nifty_1day_continous,312,2008-04-24 23:59:59.999989,699673645.09,706610623.23,695278832.63,696462855.0,0.0,0.0,696462855.0,MyStrategy,312,733156.9999999999,Broker,312,10000.0,10000.0,BuySell,312,,,Trades - Net Profit/Loss,312,,
