open,high,low,close,volume
6144.7,6197.0,6060.85,6179.4,1061386294
6184.25,6230.15,6126.4,6178.55,1053655542
6179.1,6300.05,6179.1,6274.3,978921894
6271.0,6289.8,6193.35,6279.1,921091271
6282.45,6357.1,6221.6,6287.85,962244911
6287.55,6338.3,6231.25,6272.0,753589078
6278.1,6347.0,6142.9,6156.95,693037979
6166.65,6224.2,6112.55,6200.1,638224383
6208.8,6244.15,6172.0,6206.8,585621947
6226.35,6260.45,6053.3,6074.25,599041935
6065.0,6065.0,5825.75,5935.75,622360699
5937.95,6013.15,5880.3,5913.2,663718440
5907.75,5908.75,5677.0,5705.3,594182374
5705.0,5705.0,4977.1,5208.8,825585187
5203.35,5203.35,4448.5,4899.3,801391684
4903.05,5328.05,4891.6,5203.4,774433117
5208.0,5357.2,4995.8,5033.45,701282291
5035.05,5399.25,5035.05,5383.35,514469597
5380.95,5380.95,5071.0,5274.1,434851296
5279.55,5391.6,5225.25,5280.8,484636697
5283.75,5314.3,5142.25,5167.6,421584632
5172.25,5251.65,5071.15,5137.45,777639229
5140.6,5339.95,5090.75,5317.25,468104581
5315.55,5545.2,5315.55,5463.5,503121355
5463.75,5500.6,5412.95,5483.9,512493541
5322.55,5344.6,5113.85,5133.25,684810030
5132.1,5173.85,5034.25,5120.35,570884956
5120.55,5126.4,4803.6,4857.0,649664235
4877.85,4949.6,4820.45,4838.25,519778843
4836.55,4986.55,4836.55,4929.45,503244606
4944.65,5220.25,4944.65,5202.0,549901391
5202.85,5315.4,5104.75,5302.9,608866778
5304.45,5348.6,5224.0,5276.9,518304527
5278.4,5368.45,5262.0,5280.8,533549844
5267.15,5267.15,5116.3,5154.45,476047213
5156.9,5241.35,5120.05,5191.8,499674330
5183.4,5184.0,5092.8,5110.75,428354151
5112.25,5212.35,5055.15,5200.7,462958099
5271.4,5368.15,5249.75,5268.4,513372650
5266.35,5302.85,5227.15,5285.1,544696422
5285.0,5290.8,5098.35,5223.5,681877740
5222.8,5222.8,4936.05,4953.0,486855339
4958.55,4976.7,4812.95,4864.25,577772572
4866.85,4936.75,4847.25,4921.4,446623821
4918.3,4918.3,4672.25,4771.6,556093816
4767.8,4814.95,4620.5,4800.4,651883058
4796.3,4888.5,4732.85,4865.9,618676823
4869.75,5019.2,4854.75,4872.0,664642873
4868.7,4868.8,4580.15,4623.6,585944473
4623.8,4758.95,4607.55,4745.8,558826059
4745.45,4745.45,4482.1,4503.1,551389207
4519.9,4617.95,4468.55,4533.0,605318583
4534.75,4718.4,4533.9,4573.95,538775872
4576.8,4649.45,4539.8,4609.85,472616450
4616.8,4896.8,4616.8,4877.5,609944745
4878.7,4912.3,4808.65,4828.85,542754727
4828.8,4863.75,4769.6,4830.25,612895692
