datetime,PP,R1,S1,R2,S2,R3,S3
2011-12-31,4751.566666666667,4971.983333333334,4403.883333333333,5319.666666666666,4183.466666666666,5540.083333333334,3835.783333333333
2012-01-31,5001.433333333333,5414.816666666667,4785.866666666667,5630.383333333334,4372.483333333334,6043.766666666666,4156.916666666667
2012-02-29,5391.383333333334,5623.766666666668,5152.816666666668,5862.333333333334,4920.433333333334,6094.716666666668,4681.866666666669
2012-03-31,5310.299999999999,5484.649999999999,5121.199999999999,5673.749999999999,4946.849999999999,5848.0999999999985,4757.749999999999
2012-04-30,5260.4,5366.499999999999,5142.049999999999,5484.849999999999,5035.95,5590.949999999999,4917.599999999999
2012-05-31,4997.599999999999,5206.249999999999,4715.5999999999985,5488.250000000001,4506.949999999999,5696.9,4224.949999999998
2012-06-30,5111.833333333333,5453.316666666666,4937.416666666666,5627.733333333332,4595.933333333333,5969.216666666665,4421.516666666666
2012-07-31,5203.316666666667,5374.233333333334,5058.083333333333,5519.466666666667,4887.166666666666,5690.383333333334,4741.9333333333325
2012-08-31,5290.583333333333,5416.516666666666,5132.566666666666,5574.533333333335,5006.633333333332,5700.466666666667,4848.616666666665
2012-09-30,5551.383333333332,5887.066666666665,5367.616666666665,6070.833333333333,5031.9333333333325,6406.516666666665,4848.166666666665
2012-10-31,5441.083333333333,5993.966666666666,5066.816666666666,6368.2333333333345,4513.9333333333325,6921.116666666667,4139.666666666665
2012-11-30,5771.150000000001,5993.950000000001,5657.050000000001,6108.050000000001,5434.250000000001,6330.85,5320.1500000000015
2012-12-31,5897.8,5972.450000000001,5830.450000000001,6039.800000000001,5755.8,6114.450000000001,5688.450000000001
2013-01-31,6027.25,6119.3,5942.7,6203.849999999999,5850.65,6295.900000000001,5766.099999999999
2013-02-28,5805.966666666666,5940.033333333333,5558.983333333333,6187.016666666666,5424.916666666666,6321.083333333333,5177.9333333333325
2013-03-31,5752.866666666666,5900.883333333331,5534.533333333332,6119.216666666665,5386.516666666666,6267.233333333331,5168.1833333333325
2013-04-30,5789.900000000001,6102.600000000001,5617.500000000001,6275.000000000001,5304.8,6587.700000000002,5132.400000000001
2013-05-31,6042.116666666666,6173.283333333332,5854.783333333332,6360.616666666666,5723.616666666666,6491.783333333332,5536.283333333332
2013-06-30,5806.483333333334,6046.716666666667,5601.966666666667,6251.233333333334,5361.733333333334,6491.466666666667,5157.216666666667
2013-07-31,5837.033333333333,5998.316666666666,5580.716666666665,6254.633333333333,5419.4333333333325,6415.916666666666,5163.116666666665
2013-08-31,5466.383333333334,5813.916666666668,5124.266666666668,6156.033333333335,4776.7333333333345,6503.5666666666675,4434.616666666669
2013-09-30,5732.233333333334,6145.5666666666675,5321.966666666667,6555.833333333334,4908.633333333333,6969.166666666668,4498.366666666667
2013-10-31,6103.05,6505.150000000001,5897.05,6711.150000000001,5494.95,7113.250000000001,5288.95
2013-11-30,6163.833333333333,6355.216666666666,5984.716666666666,6534.333333333333,5793.333333333333,6725.716666666666,5614.216666666666
2013-12-31,6283.066666666667,6436.183333333333,6150.883333333333,6568.366666666666,5997.766666666666,6721.483333333334,5865.583333333333
2014-01-31,6158.349999999999,6289.449999999999,5958.399999999999,6489.4,5827.299999999999,6620.499999999999,5627.3499999999985
2014-02-28,6164.316666666667,6395.333333333333,6045.933333333333,6513.716666666666,5814.916666666667,6744.733333333333,5696.533333333334
2014-03-31,6548.833333333333,6885.416666666666,6367.616666666666,7066.633333333333,6031.033333333333,7403.216666666666,5849.816666666666
2014-04-30,6738.883333333334,6827.366666666669,6607.916666666668,6958.333333333334,6519.433333333333,7046.816666666669,6388.466666666667
2014-05-31,7144.0,7649.45,6724.5,8068.95,6219.05,8574.4,5799.55
2014-06-30,7511.350000000001,7783.200000000003,7339.500000000003,7955.050000000001,7067.6500000000015,8226.900000000001,6895.800000000003
2014-07-31,7661.466666666666,7900.783333333333,7481.983333333333,8080.266666666666,7242.666666666666,8319.583333333332,7063.1833333333325
2014-08-31,7820.900000000001,8101.700000000001,7673.550000000001,8249.050000000001,7392.750000000001,8529.85,7245.4000000000015
2014-09-30,7995.599999999999,8149.399999999999,7810.999999999999,8334.0,7657.2,8487.8,7472.599999999999
2014-10-31,8125.600000000001,8527.350000000002,7920.450000000003,8732.500000000002,7518.700000000002,9134.250000000002,7313.550000000003
2014-11-30,8498.5,8706.75,8380.0,8825.25,8171.75,9033.5,8053.25
2014-12-31,8289.016666666666,8616.683333333332,7955.033333333333,8950.666666666666,7627.366666666667,9278.333333333332,7293.383333333333
2015-01-31,8623.65,9181.849999999999,8250.699999999999,9554.8,7692.499999999999,10113.0,7319.549999999998
2015-02-28,8771.15,9071.8,8601.199999999999,9241.75,8300.55,9542.4,8130.5999999999985
2015-03-31,8626.449999999999,8983.749999999998,8133.699999999997,9476.500000000002,7776.399999999998,9833.8,7283.649999999996
2015-04-30,8390.35,8635.95,7935.9000000000015,9090.400000000001,7690.300000000001,9336.0,7235.850000000002
2015-05-31,8306.783333333333,8616.416666666666,8124.016666666666,8799.183333333332,7814.383333333333,9108.816666666666,7631.616666666667
2015-06-30,8258.65,8577.0,8050.15,8785.5,7731.8,9103.849999999999,7523.3
2015-07-31,8501.0,8686.6,8347.25,8840.35,8161.65,9025.95,8007.9
2015-08-31,8086.7,8506.15,7551.85,9041.0,7132.400000000001,9460.449999999999,6597.550000000001
2015-09-30,7847.8,8156.1,7640.6,8363.3,7332.3,8671.6,7125.1
2015-10-31,8110.916666666667,8291.183333333334,7885.533333333335,8516.566666666668,7705.266666666667,8696.833333333334,7479.883333333335
2015-11-30,7921.833333333333,8129.516666666666,7727.566666666666,8323.783333333335,7519.883333333332,8531.466666666667,7325.616666666665
2015-12-31,7825.566666666667,8100.083333333333,7671.833333333333,8253.816666666666,7397.316666666667,8528.333333333332,7243.583333333333
2016-01-31,7592.533333333333,7943.566666666666,7212.5166666666655,8323.583333333332,6861.483333333333,8674.616666666665,6481.466666666665
2016-02-29,7137.766666666666,7449.733333333333,6675.083333333333,7912.416666666667,6363.116666666667,8224.383333333331,5900.433333333333
2016-03-31,7517.033333333333,7998.966666666665,7256.466666666665,8259.533333333333,6774.533333333333,8741.466666666665,6513.966666666665
2016-04-30,7786.216666666667,8055.583333333334,7580.433333333334,8261.366666666667,7311.0666666666675,8530.733333333334,7105.283333333335
2016-05-31,8017.350000000001,8356.350000000002,7821.100000000002,8552.6,7482.100000000001,8891.600000000002,7285.850000000002
2016-06-30,8174.316666666667,8421.583333333332,8040.483333333334,8555.416666666668,7793.216666666667,8802.683333333332,7659.383333333334
2016-07-31,8540.616666666667,8772.583333333334,8406.533333333333,8906.666666666666,8174.566666666666,9138.633333333335,8040.483333333332
2016-08-31,8707.85,8897.550000000001,8596.5,9008.900000000003,8406.8,9198.600000000002,8295.449999999999
2016-09-30,8711.683333333334,8868.166666666668,8454.666666666668,9125.183333333334,8298.183333333334,9281.666666666668,8041.166666666668
2016-10-31,8646.266666666666,8786.383333333333,8485.583333333332,8947.066666666668,8345.466666666665,9087.183333333334,8184.783333333331
2016-11-30,8270.166666666666,8623.933333333332,7870.733333333332,9023.366666666667,7516.966666666665,9377.133333333333,7117.533333333331
2016-12-31,8118.183333333333,8342.566666666666,7961.416666666666,8499.333333333336,7737.033333333333,8723.716666666667,7580.2666666666655
2017-01-31,8455.933333333332,8778.066666666666,8239.166666666664,8994.833333333332,7917.033333333332,9316.966666666665,7700.266666666664
2017-02-28,8799.75,9062.0,8617.35,9244.400000000001,8355.1,9506.65,8172.700000000001
2017-03-31,9084.083333333334,9308.066666666668,8949.766666666668,9442.383333333333,8725.783333333335,9666.366666666667,8591.466666666669
2017-04-30,9248.783333333333,9422.416666666666,9130.416666666666,9540.783333333335,8956.783333333333,9714.416666666666,8838.416666666666
2017-05-31,9513.583333333334,9757.266666666668,9377.566666666668,9893.283333333335,9133.883333333333,10136.966666666669,8997.866666666667
2017-06-30,9559.65,9670.55,9410.0,9820.199999999997,9299.1,9931.099999999999,9149.45
2017-07-31,9911.833333333334,10280.116666666669,9708.816666666668,10483.133333333335,9340.533333333333,10851.41666666667,9137.516666666666
2017-08-31,9913.766666666668,10141.983333333337,9689.683333333336,10366.06666666667,9461.466666666667,10594.283333333338,9237.383333333335
2017-09-30,9885.033333333333,10082.516666666666,9591.116666666665,10376.433333333334,9393.633333333331,10573.916666666668,9099.716666666664
2017-10-31,10183.616666666667,10536.183333333334,9982.733333333334,10737.06666666667,9630.166666666666,11089.633333333335,9429.283333333333
2017-11-30,10270.333333333334,10446.666666666668,10050.216666666667,10666.783333333333,9873.883333333333,10843.116666666669,9653.766666666666
2017-12-31,10372.15,10710.949999999999,10191.9,10891.199999999999,9853.1,11229.999999999998,9672.85
2018-01-31,10867.966666666665,11331.283333333331,10564.383333333331,11634.866666666663,10101.066666666666,12098.18333333333,9797.483333333332
2018-02-28,10628.833333333334,10981.366666666669,10140.316666666668,11469.883333333335,9787.783333333333,11822.41666666667,9299.266666666666
2018-03-31,10197.033333333335,10442.16666666667,9868.56666666667,10770.633333333333,9623.433333333334,11015.76666666667,9294.966666666669
2018-04-30,10536.550000000001,10961.800000000003,10314.100000000002,11184.250000000004,9888.85,11609.500000000004,9666.400000000001
2018-05-31,10694.383333333333,10970.966666666667,10459.566666666666,11205.783333333336,10182.983333333332,11482.366666666669,9948.166666666664
2018-06-30,10719.483333333334,10888.066666666668,10545.716666666667,11061.833333333334,10377.133333333333,11230.416666666668,10203.366666666667
2018-07-31,11109.050000000001,11613.450000000003,10852.100000000002,11870.400000000003,10347.7,12374.800000000003,10090.750000000002
2018-08-31,11558.550000000001,11882.150000000001,11356.900000000001,12083.8,11033.300000000001,12407.400000000001,10831.650000000001
2018-09-30,11177.516666666668,11504.733333333337,10603.233333333337,12079.016666666666,10276.016666666668,12406.233333333337,9701.733333333337
2018-10-31,10475.599999999999,10946.649999999998,9915.549999999997,11506.7,9444.499999999998,11977.749999999998,8884.449999999997
2018-11-30,10713.699999999999,11085.499999999998,10504.949999999997,11294.250000000002,10133.149999999998,11666.05,9924.399999999996
2018-12-31,10727.183333333332,11120.516666666665,10469.216666666665,11378.483333333332,10075.883333333333,11771.816666666664,9817.916666666666
2019-01-31,10800.683333333332,11017.716666666665,10613.916666666664,11204.483333333332,10396.883333333331,11421.516666666666,10210.116666666663
2019-02-28,10832.083333333334,11078.516666666668,10546.066666666668,11364.533333333335,10299.633333333333,11610.966666666669,10013.616666666667
