===============================================================================
Id,testing,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
106,testing,106,2007-06-15 23:59:59.999989,4186.4,4209.45,4153.7,4171.45,350542849.0,0.0,4171.45,MyStrategy,106,732842.9999999999,Broker,106,10000.0,10000.0,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,testing,107,2007-06-18 23:59:59.999989,4177.0,4208.15,4140.25,4147.1,316967335.0,0.0,4147.1,MyStrategy,107,732845.9999999999,Broker,107,10000.0,10000.0,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,testing,108,2007-06-19 23:59:59.999989,4143.85,4222.4,4136.15,4214.3,311020181.0,0.0,4214.3,MyStrategy,108,732846.9999999999,Broker,108,10000.0,10000.0,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,testing,109,2007-06-20 23:59:59.999989,4214.3,4257.0,4214.3,4248.65,361686619.0,0.0,4248.65,MyStrategy,109,732847.9999999999,Broker,109,10000.0,10000.0,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,testing,110,2007-06-21 23:59:59.999989,4248.65,4275.35,4220.1,4267.4,354694566.0,0.0,4267.4,MyStrategy,110,732848.9999999999,Broker,110,10000.0,10000.0,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,testing,111,2007-06-22 23:59:59.999989,4267.55,4278.85,4242.5,4252.05,340603275.0,0.0,4252.05,MyStrategy,111,732849.9999999999,Broker,111,10000.0,10000.0,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,testing,112,2007-06-25 23:59:59.999989,4251.4,4264.25,4236.3,4259.4,295713515.0,0.0,4259.4,MyStrategy,112,732852.9999999999,Broker,112,10000.0,10000.0,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,testing,113,2007-06-26 23:59:59.999989,4259.4,4296.15,4250.1,4285.7,347724674.0,0.0,4285.7,MyStrategy,113,732853.9999999999,Broker,113,10000.0,10000.0,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,testing,114,2007-06-27 23:59:59.999989,4286.2,4294.2,4255.25,4263.95,374196940.0,0.0,4263.95,MyStrategy,114,732854.9999999999,Broker,114,10000.0,10000.0,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,testing,115,2007-06-28 23:59:59.999989,4263.9,4291.4,4256.9,4282.0,573585414.0,0.0,4282.0,MyStrategy,115,732855.9999999999,Broker,115,10000.0,10000.0,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,testing,116,2007-06-29 23:59:59.999989,4282.4,4321.35,4280.95,4318.3,499167396.0,0.0,4318.3,MyStrategy,116,732856.9999999999,Broker,116,10000.0,10000.0,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,testing,117,2007-07-02 23:59:59.999989,4318.4,4346.75,4305.45,4313.75,466613588.0,0.0,4313.75,MyStrategy,117,732859.9999999999,Broker,117,10000.0,10000.0,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,testing,118,2007-07-03 23:59:59.999989,4315.05,4363.35,4313.55,4357.55,487852412.0,0.0,4357.55,MyStrategy,118,732860.9999999999,Broker,118,10000.0,10000.0,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,testing,119,2007-07-04 23:59:59.999989,4358.25,4386.45,4342.0,4359.3,450921752.0,0.0,4359.3,MyStrategy,119,732861.9999999999,Broker,119,10000.0,10000.0,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,testing,120,2007-07-06 23:59:59.999989,4353.1,4411.0,4304.0,4384.85,483039254.0,0.0,4384.85,MyStrategy,120,732863.9999999999,Broker,120,10000.0,10000.0,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,testing,121,2007-07-10 23:59:59.999989,4419.1,4434.45,4393.0,4406.05,425449261.0,0.0,4406.05,MyStrategy,121,732867.9999999999,Broker,121,10000.0,10000.0,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,testing,122,2007-07-11 23:59:59.999989,4403.8,4411.45,4344.7,4387.15,465520060.0,0.0,4387.15,MyStrategy,122,732868.9999999999,Broker,122,10000.0,10000.0,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,testing,123,2007-07-12 23:59:59.999989,4388.05,4451.95,4387.05,4446.15,516278795.0,0.0,4446.15,MyStrategy,123,732869.9999999999,Broker,123,10000.0,10000.0,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,testing,124,2007-07-13 23:59:59.999989,4446.4,4513.9,4446.05,4504.55,530571974.0,0.0,4504.55,MyStrategy,124,732870.9999999999,Broker,124,10000.0,10000.0,BuySell,124,,,Trades - Net Profit/Loss,124,,
125,testing,125,2007-07-16 23:59:59.999989,4505.95,4521.85,4495.95,4512.15,462168201.0,0.0,4512.15,MyStrategy,125,732873.9999999999,Broker,125,10000.0,10000.0,BuySell,125,,,Trades - Net Profit/Loss,125,,
