datetime,open,high,low,close,volume,month-year,PP,R1,S1,R2,S2,R3,S3,rsi,ema,sma,UP_BB,MID_BB,LOW_BB
2007-04-16,3920.5,4016.8,3920.5,4013.35,382301481,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,62.20185120787153,3855.468817568562,3781.3350000000028,3977.3003747474704,3781.3350000000028,3585.369625252535
2007-04-17,4014.4,4030.0,3976.25,3984.95,376270395,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,59.96421814516094,3879.010850737914,3798.5275000000024,4002.4361620890268,3798.5275000000024,3594.618837910978
2007-04-18,3989.6,4039.25,3981.75,4011.6,404059931,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,61.36861358805164,3903.117968785566,3816.9275000000025,4027.8871512960186,3816.9275000000025,3605.9678487039864
2007-04-19,3998.5,4011.0,3933.35,3997.65,367058426,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,60.1786189842728,3920.305610824554,3832.8650000000025,4047.8295670801035,3832.8650000000025,3617.9004329199015
2007-04-20,4000.25,4090.05,3995.5,4083.55,399939962,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,64.71576749402287,3949.9864088564536,3852.162500000002,4083.7428551144903,3852.162500000002,3620.582144885514
2007-04-23,4083.55,4122.35,4075.2,4085.1,383744660,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,64.79371640966912,3974.5525163370985,3868.1900000000023,4117.024731498537,3868.1900000000023,3619.3552685014674
2007-04-24,4085.1,4162.15,4057.7,4141.8,412398922,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,67.61238738250672,4004.9611497303536,3881.485000000003,4157.4782845196305,3881.485000000003,3605.4917154803748
2007-04-25,4134.25,4173.3,4114.35,4167.3,497594709,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,68.82137797679226,4034.4773043248347,3898.852500000003,4199.761962255563,3898.852500000003,3597.943037744443
2007-04-26,4170.05,4217.9,4143.25,4177.85,512405559,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,69.33145310544695,4060.545067174865,3919.6900000000032,4236.837394124458,3919.6900000000032,3602.5426058755484
2007-04-30,4081.6,4096.9,4028.9,4087.9,370192163,2007-03,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673,60.276999500688156,4065.5186913248895,3934.1800000000026,4254.249874246165,3934.1800000000026,3614.1101257538403
2007-05-03,4089.45,4161.2,4080.75,4150.85,495768617,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,63.83644473289925,4081.033474720364,3950.6450000000027,4279.601553210237,3950.6450000000027,3621.688446789768
2007-05-04,4168.9,4180.9,4109.7,4117.35,537073446,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,60.71831803449585,4087.6364793166617,3974.8325000000027,4277.035872375233,3974.8325000000027,3672.629127624772
2007-05-07,4117.5,4157.65,4103.6,4111.15,474209359,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,60.132896417469325,4091.9116648954505,3995.857500000003,4273.568193483259,3995.857500000003,3718.146806516747
2007-05-08,4111.25,4136.05,4066.4,4077.0,424501904,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,56.879843577726575,4089.2004530962777,4013.045000000003,4264.969333679683,4013.045000000003,3761.1206663203225
2007-05-09,4077.25,4087.8,4030.55,4079.3,412080524,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,57.04837481421825,4087.4003707151364,4029.4100000000026,4252.218580624629,4029.4100000000026,3806.6014193753763
2007-05-10,4079.6,4134.2,4057.55,4066.8,447976617,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,55.772560348706634,4083.6548487669297,4040.575000000003,4246.759702390714,4040.575000000003,3834.390297609292
2007-05-11,4070.2,4094.65,3981.15,4076.65,467388464,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,56.59628497397507,4082.3812399002154,4052.0000000000027,4238.667656544885,4052.0000000000027,3865.33234345512
2007-05-14,4078.8,4151.3,4072.45,4134.3,484956300,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,61.15622795509267,4091.821014463813,4065.582500000003,4233.781341479219,4065.582500000003,3897.383658520788
2007-05-15,4134.3,4150.45,4102.45,4120.3,502699324,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,59.520861355167476,4096.999011834028,4080.105000000003,4210.228314206002,4080.105000000003,3949.981685794004
2007-05-16,4125.4,4181.0,4113.05,4170.95,522237761,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,63.34029919516612,4110.444646046023,4092.7850000000026,4205.220190665426,4092.7850000000026,3980.3498093345784
2007-05-17,4172.1,4232.45,4172.1,4219.55,581485432,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,66.59711819914213,4130.281983128564,4103.095000000003,4222.1259913424165,4103.095000000003,3984.0640086575895
2007-05-18,4216.5,4228.45,4177.0,4214.5,429751137,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,65.94157126451093,4145.594349832461,4114.572500000003,4230.036829881301,4114.572500000003,3999.108170118705
2007-05-21,4217.65,4269.35,4217.55,4260.9,460203919,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,68.9644396023099,4166.559013499286,4127.037500000002,4248.989075942959,4127.037500000002,4005.0859240570453
2007-05-22,4263.1,4281.6,4234.1,4278.1,474881421,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,70.02644808081001,4186.839192863053,4141.060000000003,4264.758890859793,4141.060000000003,4017.361109140213
2007-05-23,4279.6,4291.4,4231.05,4246.2,457898547,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,65.54657881345375,4197.6320668879525,4149.192500000003,4277.980190696552,4149.192500000003,4020.4048093034535
2007-05-24,4246.2,4250.85,4189.05,4204.9,388417270,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,60.17884305665602,4198.953509271961,4155.182500000002,4282.625994439685,4155.182500000002,4027.7390055603178
2007-05-25,4197.85,4256.4,4141.35,4248.15,405751225,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,63.54560023533872,4207.898325767967,4160.500000000002,4293.997243417174,4160.500000000002,4027.00275658283
2007-05-28,4248.35,4295.6,4242.8,4256.55,437521836,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,64.17905100206397,4216.7440847192465,4164.9625000000015,4304.88294480699,4164.9625000000015,4025.0420551930133
2007-05-29,4257.6,4298.85,4248.9,4293.25,427433071,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,66.88638000919931,4230.654251133929,4170.732500000001,4321.407243321475,4170.732500000001,4020.057756678527
2007-05-30,4292.7,4301.6,4241.35,4249.65,454332850,2007-04,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336,60.98898196264386,4234.108023655033,4178.8200000000015,4328.200712945079,4178.8200000000015,4029.4392870549236
2007-06-01,4296.05,4325.8,4288.55,4297.05,424663623,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,64.63921950749076,4245.552019354118,4186.130000000001,4343.419718036445,4186.130000000001,4028.8402819635567
2007-06-04,4300.7,4362.95,4256.45,4267.05,396637536,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,60.76390363917873,4249.460743107915,4193.615000000001,4351.347134012068,4193.615000000001,4035.8828659879337
2007-06-05,4268.9,4292.5,4249.1,4284.65,418626922,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,62.195849450032355,4255.8587898155665,4202.290000000001,4360.010583945155,4202.290000000001,4044.5694160548464
2007-06-06,4285.75,4324.1,4190.95,4198.25,478479006,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,52.13652860908743,4245.384464394554,4208.352500000001,4355.296416087068,4208.352500000001,4061.4085839129343
2007-06-07,4197.6,4230.05,4130.5,4179.5,431064245,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,50.23760119842573,4233.405470868272,4213.362500000001,4348.742328168724,4213.362500000001,4077.9826718312775
2007-06-08,4179.5,4195.15,4126.1,4145.0,411644788,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,46.85591589522843,4217.331748892222,4217.272500000001,4339.359020447551,4217.272500000001,4095.1859795524506
2007-06-11,4183.75,4205.2,4134.95,4145.6,315465293,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,46.92283172680731,4204.28961273,4220.720000000001,4329.944673952255,4220.720000000001,4111.495326047748
2007-06-12,4139.7,4166.85,4100.8,4155.2,337608484,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,48.0499375476953,4195.364228597273,4221.765000000001,4328.022009651002,4221.765000000001,4115.5079903490005
2007-06-13,4155.2,4161.8,4102.95,4113.05,311057234,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,43.66556856464378,4180.39800521595,4221.402500000001,4329.08159488378,4221.402500000001,4113.723405116222
2007-06-14,4113.2,4174.05,4112.85,4170.0,312418312,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,50.26836407884534,4178.50745881305,4221.355000000001,4329.123877232696,4221.355000000001,4113.586122767307
2007-06-15,4186.4,4209.45,4153.7,4171.45,350542849,2007-05,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332,50.427677423850234,4177.2242844834045,4218.950000000001,4328.897464727582,4218.950000000001,4109.00253527242
