datetime,open,high,low,volume,close
2008-06-05,4586.95,4690.6,4536.25,574491670,4676.95
2008-06-10,4522.0,4522.55,4369.8,527292110,4449.8
2008-06-11,4469.65,4541.05,4468.05,495241501,4523.6
2008-06-12,4524.4,4550.0,4392.0,570082348,4539.35
2008-06-13,4539.5,4563.35,4491.35,538450524,4517.1
2008-06-16,4536.3,4617.7,4536.3,476850670,4572.5
2008-06-17,4572.5,4664.05,4561.75,457390395,4653.0
2008-06-18,4652.8,4679.75,4569.9,554011299,4582.4
2008-06-19,4582.55,4585.7,4488.95,382865483,4504.25
2008-06-20,4504.2,4532.0,4333.6,482749575,4347.55
2008-06-23,4351.15,4351.15,4225.5,466056287,4266.4
2008-06-24,4271.05,4305.9,4156.1,475901319,4191.1
2008-06-25,4189.6,4264.55,4093.2,544690481,4252.65
2008-06-26,4252.6,4324.75,4230.0,688287461,4315.85
2008-06-30,4136.25,4163.0,4021.7,534058125,4040.55
2008-07-01,4039.75,4075.4,3878.2,582508877,3896.75
2008-07-02,3895.3,4107.15,3848.25,787995714,4093.35
2008-07-03,4094.6,4097.35,3874.85,632740745,3925.75
2008-07-04,3926.65,4033.5,3896.4,624886617,4016.0
2008-07-07,4002.0,4114.5,4002.0,523065738,4030.0
2008-07-08,4028.7,4028.7,3896.05,545386187,3988.55
2008-07-09,3990.9,4169.4,3990.9,577564761,4157.1
2008-07-10,4155.65,4187.95,4110.4,539511064,4162.2
2008-07-11,4166.0,4215.5,4014.45,579846205,4049.0
2008-07-14,4047.45,4118.1,4004.25,465549908,4039.7
2008-07-15,4039.3,4040.7,3835.5,447187323,3861.1
2008-07-16,3861.55,3920.05,3790.2,550509226,3816.7
2008-07-17,3823.15,3968.75,3823.15,516111954,3947.2
2008-07-18,3962.95,4110.55,3926.3,547208782,4092.25
2008-07-21,4092.2,4168.15,4072.75,419232583,4159.5
2008-07-22,4158.45,4262.45,4137.95,532638572,4240.1
2008-07-23,4246.7,4491.55,4246.7,847453745,4476.8
2008-07-24,4476.2,4539.45,4385.85,771408453,4433.55
2008-07-28,4282.25,4352.65,4282.25,491366555,4332.1
2008-07-29,4332.2,4332.2,4159.15,553654297,4189.85
2008-07-30,4191.2,4327.0,4191.2,593453634,4313.55
2008-07-31,4314.35,4342.0,4285.55,662584064,4332.95
2008-08-01,4331.6,4422.95,4235.7,717784049,4413.55
2008-08-04,4426.1,4436.15,4362.9,702530187,4395.35
2008-08-05,4395.8,4515.15,4376.0,762410732,4502.85
2008-08-06,4506.25,4615.9,4503.9,765764035,4517.55
2008-08-07,4515.25,4580.15,4493.7,591422025,4523.85
2008-08-08,4518.35,4546.35,4464.0,580027728,4529.5
2008-08-11,4529.35,4625.2,4529.35,521411418,4620.4
2008-08-12,4620.95,4649.85,4525.75,578642335,4552.25
2008-08-13,4548.05,4572.65,4497.25,575695680,4529.05
2008-08-14,4524.2,4529.8,4421.25,492446993,4430.7
2008-08-18,4430.7,4447.4,4379.85,395788417,4393.05
2008-08-19,4393.1,4393.7,4316.55,408963049,4368.25
2008-08-20,4365.45,4434.9,4365.45,438751962,4415.75
2008-08-21,4416.2,4418.55,4271.3,434416745,4283.85
2008-08-25,4317.95,4398.8,4317.95,330162088,4335.35
2008-08-26,4335.2,4345.05,4283.3,370720790,4337.5
2008-08-27,4336.85,4364.25,4282.65,381229573,4292.1
2008-08-28,4290.75,4304.5,4201.85,523699511,4214.0
2008-08-29,4230.6,4368.8,4230.6,456409529,4360.0
2008-09-01,4356.1,4365.0,4281.35,378071977,4348.65
2008-09-02,4358.85,4522.4,4343.1,534924428,4504.0
2008-09-04,4512.95,4514.6,4419.45,478150665,4447.75
2008-09-05,4444.7,4444.7,4328.9,414218125,4352.3
2008-09-08,4358.3,4558.0,4358.3,448805619,4482.3
2008-09-09,4485.15,4497.5,4418.95,426078576,4468.7
2008-09-10,4467.5,4467.5,4382.35,468369081,4400.25
2008-09-11,4397.25,4399.3,4272.75,409861317,4290.3
2008-09-12,4291.6,4323.9,4200.15,453014972,4228.45
2008-09-15,4231.95,4237.25,3955.4,491546410,4072.9
2008-09-18,4005.25,4050.1,3799.55,622840004,4038.15
2008-09-19,4040.8,4262.65,4040.8,592959421,4245.25
2008-09-22,4248.95,4303.25,4202.4,443658642,4223.05
2008-09-23,4223.9,4224.7,4117.9,419382270,4126.9
2008-09-24,4125.75,4207.95,4115.85,431627910,4161.25
